Name,Paleographic features
2004,ב:body:inclination:oblique
2005,ב:body:inclination:oblique
2007,ב:body:inclination:oblique
2012,ב:body:inclination:oblique
2025,ב:body:inclination:oblique
2027,ב:body:inclination:oblique
2028,ב:body:inclination:oblique
2030,ב:body:inclination:oblique
2031,ב:body:inclination:oblique
2032,ב:body:inclination:oblique
2035,ב:body:inclination:oblique
2037,ב:body:inclination:oblique
2039,ב:body:inclination:oblique
2041,ב:body:inclination:oblique
2044,ב:body:inclination:oblique
2046,ב:body:inclination:oblique
2046,ב:body:inclination:oblique
2047,ב:body:inclination:oblique
2050,ב:body:inclination:oblique
2052,ב:body:inclination:oblique
2054,ב:body:inclination:oblique
2056,ב:body:inclination:oblique
2056,ב:body:inclination:oblique
2065,ב:body:inclination:oblique
2065,ב:body:inclination:oblique
2066,ב:body:inclination:oblique
2067,ב:body:inclination:oblique
2067,ב:body:inclination:oblique
2068,ב:body:inclination:oblique
2068,ב:body:inclination:oblique
2068,ב:body:inclination:oblique
2076,ב:body:inclination:oblique
2077,ב:body:inclination:oblique
2078,ב:body:inclination:oblique
2080,ב:body:inclination:oblique
2073,ב:body:inclination:oblique
3012,ב:body:inclination:oblique
2088,ב:body:inclination:oblique
2091,ב:body:inclination:oblique
2100,ב:body:inclination:oblique
2104,ב:body:inclination:oblique
2114,ב:body:inclination:oblique
2121,ב:body:inclination:oblique
2131,ב:body:inclination:oblique
2138,ב:body:inclination:oblique
2148,ב:body:inclination:oblique
2150,ב:body:inclination:oblique
2151,ב:body:inclination:oblique
2151,ב:body:inclination:oblique
2153,ב:body:inclination:oblique
2154,ב:body:inclination:oblique
2154,ב:body:inclination:oblique
2158,ב:body:inclination:oblique
2161,ב:body:inclination:oblique
2164,ב:body:inclination:oblique
2172,ב:body:inclination:oblique
2173,ב:body:inclination:oblique
2182,ב:body:inclination:oblique
2190,ב:body:inclination:oblique
3022,ב:body:inclination:oblique
3026,ב:body:inclination:oblique
3027,ב:body:inclination:oblique
3044,ב:body:inclination:oblique
3051,ב:body:inclination:oblique
1001,ב:body:inclination:vertical
1001,ב:body:inclination:vertical
1004,ב:body:inclination:vertical
1007,ב:body:inclination:vertical
1010,ב:body:inclination:vertical
1021,ב:body:inclination:vertical
1020,ב:body:inclination:vertical
1023,ב:body:inclination:vertical
1025,ב:body:inclination:vertical
1027,ב:body:inclination:vertical
1029,ב:body:inclination:vertical
1032,ב:body:inclination:vertical
1033,ב:body:inclination:vertical
1038,ב:body:inclination:vertical
1039,ב:body:inclination:vertical
1045,ב:body:inclination:vertical
1054,ב:body:inclination:vertical
1063,ב:body:inclination:vertical
2003,ב:body:inclination:vertical
2008,ב:body:inclination:vertical
2011,ב:body:inclination:vertical
2012,ב:body:inclination:vertical
2025,ב:body:inclination:vertical
2028,ב:body:inclination:vertical
2033,ב:body:inclination:vertical
2036,ב:body:inclination:vertical
2040,ב:body:inclination:vertical
2041,ב:body:inclination:vertical
2043,ב:body:inclination:vertical
2043,ב:body:inclination:vertical
2048,ב:body:inclination:vertical
2055,ב:body:inclination:vertical
2056,ב:body:inclination:vertical
2061,ב:body:inclination:vertical
2063,ב:body:inclination:vertical
2063,ב:body:inclination:vertical
2063,ב:body:inclination:vertical
2064,ב:body:inclination:vertical
2074,ב:body:inclination:vertical
2078,ב:body:inclination:vertical
2081,ב:body:inclination:vertical
2086,ב:body:inclination:vertical
2096,ב:body:inclination:vertical
2099,ב:body:inclination:vertical
2114,ב:body:inclination:vertical
2152,ב:body:inclination:vertical
3017,ב:body:inclination:vertical
2178,ב:body:inclination:vertical
2181,ב:body:inclination:vertical
2182,ב:body:inclination:vertical
2185,ב:body:inclination:vertical
3020,ב:body:inclination:vertical
3028,ב:body:inclination:vertical
3049,ב:body:inclination:vertical
3050,ב:body:inclination:vertical
3051,ב:body:inclination:vertical
3062,ב:body:inclination:vertical
1001,ב:head:shape:quarter-circle
1001,ב:head:shape:quarter-circle
1007,ב:head:shape:quarter-circle
1009,ב:head:shape:quarter-circle
1021,ב:head:shape:quarter-circle
1027,ב:head:shape:quarter-circle
1027,ב:head:shape:quarter-circle
1028,ב:head:shape:quarter-circle
1028,ב:head:shape:quarter-circle
1033,ב:head:shape:quarter-circle
1040,ב:head:shape:quarter-circle
1055,ב:head:shape:quarter-circle
1055,ב:head:shape:quarter-circle
1063,ב:head:shape:quarter-circle
2004,ב:head:shape:quarter-circle
2005,ב:head:shape:quarter-circle
2007,ב:head:shape:quarter-circle
2012,ב:head:shape:quarter-circle
2027,ב:head:shape:quarter-circle
2032,ב:head:shape:quarter-circle
2033,ב:head:shape:quarter-circle
2039,ב:head:shape:quarter-circle
2041,ב:head:shape:quarter-circle
2041,ב:head:shape:quarter-circle
2043,ב:head:shape:quarter-circle
2043,ב:head:shape:quarter-circle
2052,ב:head:shape:quarter-circle
2064,ב:head:shape:quarter-circle
2065,ב:head:shape:quarter-circle
2065,ב:head:shape:quarter-circle
2068,ב:head:shape:quarter-circle
2068,ב:head:shape:quarter-circle
2073,ב:head:shape:quarter-circle
2104,ב:head:shape:quarter-circle
2114,ב:head:shape:quarter-circle
2148,ב:head:shape:quarter-circle
2150,ב:head:shape:quarter-circle
2151,ב:head:shape:quarter-circle
2151,ב:head:shape:quarter-circle
2153,ב:head:shape:quarter-circle
2161,ב:head:shape:quarter-circle
2181,ב:head:shape:quarter-circle
2182,ב:head:shape:quarter-circle
2182,ב:head:shape:quarter-circle
2190,ב:head:shape:quarter-circle
3062,ב:head:shape:quarter-circle
1004,ב:head:shape:round
1023,ב:head:shape:round
1038,ב:head:shape:round
1045,ב:head:shape:round
1058,ב:head:shape:round
1058,ב:head:shape:round
2011,ב:head:shape:round
2044,ב:head:shape:round
2056,ב:head:shape:round
2056,ב:head:shape:round
2068,ב:head:shape:round
2081,ב:head:shape:round
2099,ב:head:shape:round
2131,ב:head:shape:round
2172,ב:head:shape:round
1004,ב:head:shape:triangular
1007,ב:head:shape:triangular
1010,ב:head:shape:triangular
1010,ב:head:shape:triangular
1020,ב:head:shape:triangular
1025,ב:head:shape:triangular
1029,ב:head:shape:triangular
1032,ב:head:shape:triangular
3004,ב:head:shape:triangular
3007,ב:head:shape:triangular
3008,ב:head:shape:triangular
1033,ב:head:shape:triangular
1033,ב:head:shape:triangular
1039,ב:head:shape:triangular
1042,ב:head:shape:triangular
1054,ב:head:shape:triangular
1064,ב:head:shape:triangular
2003,ב:head:shape:triangular
2008,ב:head:shape:triangular
2012,ב:head:shape:triangular
2025,ב:head:shape:triangular
2025,ב:head:shape:triangular
2028,ב:head:shape:triangular
2028,ב:head:shape:triangular
2030,ב:head:shape:triangular
2031,ב:head:shape:triangular
2035,ב:head:shape:triangular
2036,ב:head:shape:triangular
2037,ב:head:shape:triangular
2040,ב:head:shape:triangular
2046,ב:head:shape:triangular
2046,ב:head:shape:triangular
2047,ב:head:shape:triangular
2048,ב:head:shape:triangular
2050,ב:head:shape:triangular
2054,ב:head:shape:triangular
2055,ב:head:shape:triangular
2056,ב:head:shape:triangular
2061,ב:head:shape:triangular
2063,ב:head:shape:triangular
2063,ב:head:shape:triangular
2063,ב:head:shape:triangular
2066,ב:head:shape:triangular
2067,ב:head:shape:triangular
2067,ב:head:shape:triangular
2074,ב:head:shape:triangular
2076,ב:head:shape:triangular
2077,ב:head:shape:triangular
2078,ב:head:shape:triangular
2078,ב:head:shape:triangular
2080,ב:head:shape:triangular
2086,ב:head:shape:triangular
3012,ב:head:shape:triangular
2088,ב:head:shape:triangular
2091,ב:head:shape:triangular
2096,ב:head:shape:triangular
2100,ב:head:shape:triangular
2121,ב:head:shape:triangular
2138,ב:head:shape:triangular
2154,ב:head:shape:triangular
2154,ב:head:shape:triangular
2158,ב:head:shape:triangular
2164,ב:head:shape:triangular
2173,ב:head:shape:triangular
3017,ב:head:shape:triangular
2178,ב:head:shape:triangular
2185,ב:head:shape:triangular
3020,ב:head:shape:triangular
3022,ב:head:shape:triangular
3026,ב:head:shape:triangular
3028,ב:head:shape:triangular
3044,ב:head:shape:triangular
3050,ב:head:shape:triangular
1001,ב:leg:angular
1001,ב:leg:angular
1004,ב:leg:angular
1004,ב:leg:angular
1007,ב:leg:angular
1007,ב:leg:angular
1009,ב:leg:angular
1010,ב:leg:angular
1010,ב:leg:angular
1021,ב:leg:angular
1020,ב:leg:angular
1023,ב:leg:angular
1025,ב:leg:angular
1027,ב:leg:angular
1027,ב:leg:angular
1028,ב:leg:angular
1028,ב:leg:angular
1029,ב:leg:angular
1032,ב:leg:angular
3004,ב:leg:angular
3006,ב:leg:angular
1033,ב:leg:angular
1033,ב:leg:angular
1033,ב:leg:angular
1038,ב:leg:angular
1038,ב:leg:angular
1039,ב:leg:angular
1040,ב:leg:angular
1042,ב:leg:angular
1045,ב:leg:angular
1054,ב:leg:angular
1055,ב:leg:angular
1055,ב:leg:angular
1058,ב:leg:angular
1058,ב:leg:angular
1063,ב:leg:angular
1064,ב:leg:angular
2003,ב:leg:angular
2005,ב:leg:angular
2007,ב:leg:angular
2008,ב:leg:angular
2011,ב:leg:angular
2012,ב:leg:angular
2012,ב:leg:angular
2025,ב:leg:angular
2025,ב:leg:angular
2027,ב:leg:angular
2030,ב:leg:angular
2032,ב:leg:angular
2033,ב:leg:angular
2035,ב:leg:angular
2036,ב:leg:angular
2037,ב:leg:angular
2041,ב:leg:angular
2041,ב:leg:angular
2043,ב:leg:angular
2043,ב:leg:angular
2046,ב:leg:angular
2048,ב:leg:angular
2050,ב:leg:angular
2054,ב:leg:angular
2055,ב:leg:angular
2056,ב:leg:angular
2056,ב:leg:angular
2056,ב:leg:angular
2061,ב:leg:angular
2063,ב:leg:angular
2063,ב:leg:angular
2064,ב:leg:angular
2065,ב:leg:angular
2065,ב:leg:angular
2068,ב:leg:angular
2068,ב:leg:angular
2068,ב:leg:angular
2074,ב:leg:angular
2076,ב:leg:angular
2077,ב:leg:angular
2078,ב:leg:angular
2078,ב:leg:angular
2081,ב:leg:angular
2073,ב:leg:angular
2086,ב:leg:angular
3012,ב:leg:angular
2088,ב:leg:angular
2091,ב:leg:angular
2096,ב:leg:angular
2099,ב:leg:angular
2100,ב:leg:angular
2104,ב:leg:angular
2114,ב:leg:angular
2114,ב:leg:angular
2121,ב:leg:angular
2131,ב:leg:angular
2138,ב:leg:angular
2148,ב:leg:angular
2150,ב:leg:angular
2151,ב:leg:angular
2153,ב:leg:angular
2154,ב:leg:angular
2152,ב:leg:angular
2158,ב:leg:angular
2161,ב:leg:angular
2164,ב:leg:angular
2173,ב:leg:angular
3017,ב:leg:angular
2178,ב:leg:angular
2181,ב:leg:angular
2182,ב:leg:angular
2182,ב:leg:angular
2190,ב:leg:angular
3020,ב:leg:angular
3022,ב:leg:angular
3026,ב:leg:angular
3027,ב:leg:angular
3028,ב:leg:angular
3049,ב:leg:angular
3050,ב:leg:angular
