Name,"Paleographic features"
"1008 Het-1","ח:vertical protrusions:lower right"
"1008 Lamed-1",ל:body:inclination:oblique
"1008 Lamed-1",ל:shaft:straight
"1008 Lamed-1",ל:foot:shape:curved
"1008 Lamed-1",ל:foot:inclination:upward
"1008 Mem-1",מ:body:inclination:oblique
"1008 Mem-1","מ:head:shape:uncrossed parallel strokes"
"1008 Mem-1",מ:tail:shape:curved
"1008 Mem-1","מ:additional:narrow parallel strokes"
"1008 Mem-1","מ:foot:with foot"
"1008 Nun-1",נ:body:inclination:oblique
"1008 Nun-1",נ:head:shape:zigzag
"1008 Nun-1",נ:tail:curved
"1008 Nun-1",נ:foot:footless
"1009 Aleph-1",א:body:inclination:vertical
"1009 Aleph-1",א:head:shape:parallel
"1009 Ayin-1",ע:body:shape:teardrop
"1009 Beth-1",ב:body:inclination:oblique
"1009 Beth-1",ב:head:shape:quarter-circle
"1009 Beth-1",ב:leg:angular
"1009 Beth-1","ב:additional:elongated foot"
"1009 Beth-1","ב–ד–ה:additional:ligatures:beth-dalet-he ligature"
"1009 Dalet-1",ד:body:inclination:oblique
"1009 Dalet-1",ד:head:shape:quarter-circle
"1009 Dalet-1",ד:stem:short
"1009 Dalet-1","ד:additional:upper right head protrusion"
"1009 Dalet-1","ב–ד–ה:additional:ligatures:beth-dalet-he ligature"
"1009 He-1",ה:body:inclination:oblique
"1009 He-1","ה:horizontal strokes:number:three"
"1009 He-1",ה:shaft:length:medium
"1009 He-1","ה:shaft:angle with strokes:right"
"1009 He-1","ו–ה:additional:ligatures:waw-he ligature"
"1009 He-2",ה:body:inclination:oblique
"1009 He-2","ה:horizontal strokes:number:three"
"1009 He-2",ה:shaft:length:medium
"1009 He-2","ה:shaft:angle with strokes:right"
"1009 He-2","ה:additional:upper horizontal stroke protruding rightward"
"1009 He-2","ה:additional:lower horizontal stroke curving upward"
"1009 He-2","ב–ד–ה:additional:ligatures:beth-dalet-he ligature"
"1009 Kaf-1",כ:body:inclination:oblique
"1009 Kaf-1",כ:head:shape:trident
"1009 Kaf-1",כ:head:orientation:upward
"1009 Kaf-1",כ:tail:curved
"1009 Kaf-1","כ:additional:looping foot"
"1009 Kaf-1","כ:foot:with foot"
"1009 Lamed-1",ל:body:inclination:oblique
"1009 Lamed-1",ל:shaft:straight
"1009 Lamed-1",ל:foot:shape:angular
"1009 Lamed-1",ל:foot:inclination:horizontal
"1009 Lamed-2",ל:body:inclination:oblique
"1009 Lamed-2",ל:shaft:straight
"1009 Lamed-2",ל:foot:shape:angular
"1009 Lamed-2",ל:foot:inclination:horizontal
"1009 Mem-1",מ:body:inclination:oblique
"1009 Mem-1","מ:head:shape:crossed parallel strokes"
"1009 Mem-1",מ:tail:shape:curved
"1009 Mem-1","מ:additional:looping foot"
"1009 Mem-1","מ:foot:with foot"
"1009 Nun-1",נ:body:inclination:oblique
"1009 Nun-1","נ:head:shape:crossed parallel strokes"
"1009 Nun-1",נ:tail:curved
"1009 Nun-1","נ:foot:with foot"
"1009 Nun-1","נ:additional:looping foot"
"1009 Waw-1","ו:body:inclination:oblique leftward"
"1009 Waw-1","ו–ה:additional:ligatures:waw-he ligature"
"1009 Yod-1","י:horizontal strokes:parallel downward"
"1009 Yod-1",י:body:inclination:oblique
"1009 Yod-1",י:foot:direction:horizontal
"1009 Yod-1",י:foot:length:medium
"1009 Yod-2","י:horizontal strokes:parallel downward"
"1009 Yod-2",י:body:inclination:oblique
"1009 Yod-2",י:foot:direction:upward
"1009 Yod-2",י:foot:length:medium
"1009 Zayin-1",ז:body:orientation:landscape
"1009 Zayin-1",ז:shaft:inclination:vertical
"1009 Zayin-1","ז:additional:double tick"
"1010 Aleph-1",א:body:inclination:oblique
"1010 Aleph-2",א:body:inclination:oblique
"1010 Aleph-2",א:head:shape:parallel
"1010 Aleph-3",א:body:inclination:oblique
"1010 Aleph-3",א:head:shape:parallel
"1010 Beth-1",ב:body:inclination:oblique
"1010 Beth-1",ב:head:shape:triangular
"1010 Beth-1",ב:leg:angular
"1010 Beth-2",ב:body:inclination:vertical
"1010 Beth-2",ב:head:shape:triangular
"1010 Beth-2",ב:leg:angular
"1010 Het-1",ח:body:inclination:oblique
"1010 Het-1","ח:horizontal strokes:number:three"
"1010 Het-1","ח:vertical protrusions:upper left"
"1010 Het-1","ח:vertical protrusions:lower right"
"1010 Het-1","ח:additional:elongated horizontally"
"1010 Lamed-1",ל:body:inclination:oblique
"1010 Lamed-1",ל:shaft:straight
"1010 Lamed-1","ל:foot:shape:single stroke"
"1010 Lamed-1",ל:foot:inclination:upward
"1010 Nun-1",נ:body:inclination:oblique
"1010 Nun-1",נ:head:shape:cup-shaped
"1010 Shin-1",ש:body:inclination:vertical
"1010 Shin-1",ש:body:shape:w-shaped
"1010 Shin-1","ש:additional:lower protrusions"
"1011 Aleph-1",א:body:inclination:vertical
"1011 Aleph-1",א:head:shape:parallel
"1011 Aleph-1","א:additional:curved lower crossbar"
"1011 Het-1",ח:body:inclination:vertical
